problem,count_atoms,MDE_classic,MDE_quaternion,RMSD,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2kjo,158,2.284002510360425e-13,2.421449892945445e-13,6.718483598393433e-14,100000,100000,302080,136992,1449,1633,0.00025996793757000004,0.00014848634007000002,3.6407215429999996e-5,1.200501828e-5,0.00023357,0.00014172000000000002,0.0,0.0,0.000136066,0.000104814,0.0,0.0,0.058923790000000004,0.04324188,0.058046218000000004,0.042127540000000005
pdb2kjr,572,3.2465676513854866e-12,3.2510170146619822e-12,4.063688477565031e-13,37273,66465,1712256,682240,9175,10623,0.0016027138640839214,0.0008974700139622358,0.00021892427113460146,6.92984704882269e-5,0.0014414520000000002,0.000859299,0.0,0.0,0.000850389,0.000640306,0.0,0.0,0.06404683900000001,0.050391591000000006,0.062387145000000005,0.048672299
pdb2kko,1300,1.191191870596311e-13,1.2845183839480687e-13,2.976607870668146e-14,6228,11693,9847200,3483840,65797,75917,0.00962272829174695,0.00512288112631489,0.0013828758768465,0.00043252541657401867,0.0086105655,0.004872675,0.0,0.0,0.004880901,0.003477416,0.0,0.0,0.07694409,0.06517365600000001,0.067725192,0.059718942000000004
pdb2kl5,662,1.8200790239573805e-13,2.0201404096091043e-13,1.3796494869418547e-13,52608,89338,1278400,580832,6887,7691,0.0011354684760872872,0.0006665833376390786,0.00015295010473692216,4.8936421343661154e-5,0.0010274635000000001,0.0006449580000000001,0.0,0.0,0.000618089,0.000485946,0.0,0.0,0.062675575,0.042333125,0.061339050000000006,0.040925373
pdb2klz,276,3.4393524890136593e-14,4.4431585122814635e-14,6.487439600506137e-14,100000,100000,594736,258768,2818,3212,0.0005239824357,0.0002913657095,7.266805651e-5,2.292687673e-5,0.00047019900000000003,0.000278693,0.0,0.0,0.00027729400000000003,0.000207433,0.0,0.0,0.06236338500000001,0.04555792,0.061124231,0.044127155
pdb2ko1,1060,1.149773640678422e-12,1.150862325389318e-12,7.845034675309975e-13,4277,8075,14043776,4737568,95391,110775,0.014012938827215339,0.007422806241733746,0.002027408722235212,0.0006382479204953561,0.012484874,0.007032167000000001,0.0,0.0,0.006976181000000001,0.004999628,0.0,0.0,0.091291944,0.07451094100000001,0.07791405300000001,0.06690011700000001
pdb2koz,200,1.0745417369990816e-9,1.0746255207583978e-9,8.802351298983126e-13,100000,100000,385216,175696,1829,2074,0.00034036553013000004,0.00019980145775,4.653566661e-5,1.5039466380000001e-5,0.00030575000000000003,0.00019136200000000002,0.0,0.0,0.000181217,0.00014251700000000002,0.0,0.0,0.063656208,0.047716517,0.062767615,0.046537809000000006
pdb2kp0,200,4.892975962555061e-12,5.588116996034538e-12,4.275644260213723e-12,100000,100000,387472,175520,1846,2097,0.00034155413992,0.00019902615975,4.692844537e-5,1.541307252e-5,0.000306977,0.00018959100000000002,0.0,0.0,0.000181523,0.00014103,0.0,0.0,0.06203344,0.046149586000000006,0.061147404,0.045008995
pdb2ksg,290,3.215094158437433e-14,3.967005404680052e-14,2.467837880637148e-14,100000,100000,555168,250112,2633,2961,0.00048441806825,0.00027638891591,6.665381277000001e-5,2.1187203910000002e-5,0.00043550500000000004,0.000264952,0.0,0.0,0.00026004,0.000198674,0.0,0.0,0.06247379300000001,0.044434638000000005,0.06115389400000001,0.043020913
pdb2kt8,458,3.313899590896005e-12,3.5350045103312297e-12,7.139354285666054e-13,75640,100000,885664,399872,4465,5061,0.0007886680830645162,0.00046053542582,0.00010644904584875728,3.41617458e-5,0.0007093020000000001,0.00044312500000000005,0.0,0.0,0.00042786,0.000335242,0.0,0.0,0.06430167,0.046205226,0.06275212100000001,0.045744486
pdb2kuh,404,2.0156772745727206e-14,2.4919257557335232e-14,4.0484795243756634e-14,78869,100000,820928,374944,4051,4743,0.0007564546040015723,0.00044919424608000005,9.966253659866361e-5,3.253006443e-5,0.0006810610000000001,0.00043151150000000004,0.0,0.0,0.00041565300000000004,0.000328764,0.0,0.0,0.066048401,0.047456154,0.064269352,0.045796284
pdb2kwh,338,1.408324921668779e-13,1.8248320711721848e-13,2.9548710297848183e-13,100000,100000,670944,300784,3209,3614,0.0005902517327,0.00033094977931000003,8.111740402000001e-5,2.508642932e-5,0.000529252,0.000317468,0.0,0.0,0.000314814,0.00023815700000000002,0.0,0.0,0.065907456,0.047046138,0.064540174,0.045625666
