problem,count_atoms,solutions_classic,solutions_quaternion,MDE_classic,MDE_quaternion,minRMSDclassic,argminRMSDclassic,minRMSDquaternion,argminRMSDquaternion,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2eem,206,8,8,5.190076571980292e-13,5.461328697347588e-13,9.532410820267431e-12,1,9.586597764549971e-12,1,100000,100000,1675392,974560,6681,7877,0.0008396088166800001,0.0007212911189300001,5.658799602e-5,5.768740869e-5,0.0007721620000000001,0.000653666,0.0,0.0,0.0007581850000000001,0.000636673,0.0,0.0,0.004476961000000001,0.005346784,0.003086824,0.0042429650000000005
pdb2fva,494,8,8,1.0473931789529579e-12,1.194552623427743e-12,1.267968323630932e-11,2,1.2688975153389636e-11,2,100000,100000,4092368,2360336,17383,20349,0.0020722714193900003,0.00175624683139,0.00014138671711999998,0.00014007519892,0.0019188710000000002,0.0016079680000000002,0.0,0.0,0.0018790780000000002,0.0015586130000000001,0.0,0.0,0.00611699,0.006327765000000001,0.0032484450000000004,0.004304518
pdb2fvf,494,8,8,3.105713403320395e-13,3.4452269664394294e-13,3.5796450977690862e-12,1,3.328618142352074e-12,1,100000,100000,4087248,2378800,17223,20147,0.00206970866339,0.00176811035603,0.00014165267482,0.00014083470763,0.0019125655000000001,0.0016203505000000002,0.0,0.0,0.001879608,0.0015633460000000002,0.0,0.0,0.00613596,0.00639037,0.003273073,0.0033635040000000002
pdb2fxz,80,8,8,1.489111344230825e-12,1.74930957313935e-12,4.2292839989067974e-12,1,5.3169041009849666e-12,1,100000,100000,638288,378288,2565,3005,0.00032579948386,0.00028081943636,2.264578425e-5,2.32092169e-5,0.00029809600000000003,0.0002526615,0.0,0.0,0.00029017400000000003,0.000244553,0.0,0.0,0.004103749,0.005313081000000001,0.0033108480000000003,0.004499678
pdb2g9l,224,8,8,6.365249553720526e-14,8.666189114345304e-14,0.00010332854200466908,2,0.00010332854208094335,2,100000,100000,1843968,1080160,7271,8575,0.0009202196783100001,0.0007984580949800001,6.147423418e-5,6.295026034e-5,0.0008477440000000001,0.0007256340000000001,0.0,0.0,0.0008358240000000001,0.000707226,0.0,0.0,0.0044452020000000005,0.0054410230000000006,0.003107279,0.004245007
pdb2h5m,614,8,8,9.691692340616123e-13,1.0321046873655035e-12,0.00122667580901663,1,0.0012266758122650113,1,100000,100000,5090640,2962352,22483,26127,0.0026080427126500003,0.00221738419323,0.00018028473079,0.00017567900456,0.0024097725000000003,0.0020339765,0.0,0.0,0.002370465,0.0019772730000000003,0.0,0.0,0.0067161980000000005,0.006948383000000001,0.0032759190000000004,0.0043249890000000004
pdb2hep,252,2,2,1.1913692118927088e-12,1.268031019999238e-12,2.175764326426627e-11,1,2.203814291124195e-11,1,100000,100000,1442864,579888,6653,8131,0.00074258863212,0.00054921849668,4.126649671e-5,3.397939554e-5,0.0006965210000000001,0.0005110915,0.0,0.0,0.000681491,0.000497544,0.0,0.0,0.004189976000000001,0.005013695,0.002916615,0.0042061600000000005
pdb2jmy,92,8,8,9.833700603952647e-13,9.966563083443823e-13,7.04322754618023e-5,1,7.04322750518892e-5,1,100000,100000,746816,444832,2959,3471,0.00037496937894000005,0.00032596725244000003,2.585521961e-5,2.858001213e-5,0.00034485,0.000293095,0.0,0.0,0.00033491900000000004,0.00028182200000000004,0.0,0.0,0.003939612,0.0051113,0.0031777240000000003,0.004482295
pdb2jn5,74,8,8,1.1037036037990321e-11,2.456241305086949e-11,6.633869151305862e-12,1,2.0458527735272726e-11,1,100000,100000,574224,335216,2361,2765,0.00028378032223000003,0.00024025147775000002,1.9103754030000002e-5,1.869347752e-5,0.000259068,0.00021593500000000003,0.0,0.0,0.000252547,0.000209461,0.0,0.0,0.003635015,0.005492114,0.0028217800000000003,0.004469009
pdb2jnk,842,8,8,2.2458684397656205e-12,2.3194325093195113e-12,3.4994772968617694e-11,1,3.465258211943104e-11,1,81468,96252,7083664,4157680,32667,37679,0.003672791992279177,0.003109374361322362,0.00025545181943830705,0.00024719298077962014,0.0034046270000000003,0.0028579275000000003,0.0,0.0,0.0033449630000000003,0.002774178,0.0,0.0,0.007678856,0.008053756,0.0031262110000000003,0.004539599
