problem,count_atoms,solutions_classic,solutions_quaternion,MDE_classic,MDE_quaternion,minRMSDclassic,argminRMSDclassic,minRMSDquaternion,argminRMSDquaternion,samples_classic,samples_quaternion,memory_classic,memory_quaternion,allocs_classic,allocs_quaternion,time_classic(mean),time_quaternion(mean),gctime_classic(mean),gctime_quaternion(mean),time_classic(median),time_quaternion(median),gctime_classic(median),gctime_quaternion(median),time_classic(minimum),time_quaternion(minimum),gctime_classic(minimum),gctime_quaternion(minimum),time_classic(maxium),time_quaternion(maxium),gctime_classic(maximum),gctime_quaternion(maximum)
pdb2le2,676,8,8,2.0641763985674315e-13,2.0417339161823709e-13,1.5316624368973803e-12,2,1.4989117978065088e-12,2,37335,54894,194588752,61791248,1233887,1464769,0.10711672626436321,0.07284886154461326,0.009273109089165663,0.004402338724432543,0.10604231300000001,0.07192045650000001,0.008287540000000001,0.0032993655,0.102184457,0.070902642,0.006280812,0.0033106430000000003,0.242548219,0.103216495,0.126930988,0.007533356000000001
pdb2mvx,2360,8,8,1.9675132222054185e-10,1.971418717605798e-10,5.8654620981718586e-5,6,5.8654649477935874e-5,6,100000,100000,28671584,14593184,160652,185482,0.015511081726970001,0.012011965864490002,0.0013336156408800001,0.0010714626948500003,0.016122515,0.011022717000000001,0.0019737565000000003,0.0,0.014017223,0.01069287,0.0,0.0,0.024123965,0.019353934,0.004115441,0.005348915
pdb2mz6,220,8,8,2.1410974940678036e-11,2.153223738522516e-11,2.3371404904008617e-10,1,2.337369909631288e-10,1,100000,100000,44458080,13397280,212341,266151,0.023336016102570002,0.01549371703799,0.0009426769780500001,0.0007223114396400001,0.022866576000000003,0.01478364,0.0009665030000000001,0.0,0.021684179,0.014514999,0.0,0.0,0.045576273,0.025941603,0.0015749520000000001,0.0025106990000000004
pdb2a2y,1072,8,8,1.1501680472057861e-12,1.1510096068284999e-12,8.107571207175289e-5,2,8.107571186890698e-5,2,35434,59916,176898640,58356240,1213747,1417197,0.11286672812936728,0.0667409964244776,0.013292655870689169,0.004250525886340877,0.10586880750000001,0.065936875,0.010285901,0.0033754325,0.09183358600000001,0.064992301,0.00537502,0.003344652,0.24161649200000002,0.09829188100000001,0.123552745,0.006803152000000001
pdb2n9b,832,8,8,1.1963455794904716e-12,1.2378965941085814e-12,4.02000700366671e-10,1,4.0125593297138665e-10,1,79394,100000,99766832,32694224,617841,733025,0.05036146224578684,0.03374739979532,0.0035458055011713735,0.002362001709,0.0499561025,0.034606749,0.003157257,0.0033045310000000003,0.049267028000000004,0.030923560000000003,0.0030129370000000003,0.0,0.18275469700000002,0.047945436,0.116029663,0.003318272
pdb1hf9,496,8,8,1.1563815202095667e-11,1.1798383727149662e-11,9.013941877231047e-10,6,9.028226292837301e-10,6,100000,100000,38631376,12415888,183131,228445,0.01965094782333,0.01370074161101,0.00096111472274,0.00071720048615,0.0198005895,0.0130242975,0.0011304015,0.0,0.018564332000000003,0.012720849000000001,0.0,0.0,0.034437300000000004,0.022816969000000003,0.0,0.0028685530000000002
pdb2m4j,2178,8,8,1.462689347850755e-11,1.4547351632870256e-11,0.0005291191539245041,1,0.0005291191539696558,1,100000,100000,64472352,24340544,353708,423052,0.03337935175647,0.023528602123380003,0.0025009831582100002,0.0017025087528500002,0.0327206545,0.024835225000000002,0.0017860785000000001,0.002949424,0.032355006,0.021446563000000002,0.001687768,0.0,0.052549013000000006,0.038930321000000004,0.0033447510000000004,0.002914266
pdb1x9v,544,8,8,8.967801537783899e-13,9.610810889754733e-13,0.0001154696844175502,6,0.00011546968448863884,6,100000,100000,38779152,12727504,200151,244985,0.01970717437041,0.013616618686470001,0.0010778427251,0.00079236573532,0.019875405000000002,0.012847989,0.0012621655000000002,0.0,0.018498594,0.012569533,0.0,0.0,0.034344819000000006,0.023605034,0.0,0.0034772870000000003
pdb2ko1,1060,8,8,1.149773266357412e-12,1.1508568926108199e-12,0.0009327343945959542,2,0.0009327343950226826,2,100000,100000,71492272,24973424,479405,559339,0.03662796349235,0.02614777597211,0.00260341622478,0.00184389297969,0.037152101,0.027479188,0.0031951785,0.0032758410000000003,0.035369369000000005,0.023950286,0.0015651760000000002,0.0,0.055599029,0.037906386,0.0034469270000000002,0.005247191
pdb2n3a,574,8,8,8.769635401715677e-14,1.0493841284002029e-13,0.0021456957962817697,5,0.002145695796340623,5,100000,100000,68761456,21276976,328489,410079,0.034565824804880005,0.023642362459020003,0.00162084596207,0.0012160970662100001,0.034808713500000005,0.022580399,0.0012366830000000001,0.0,0.033657791,0.022033260000000002,0.00105853,0.0,0.062814411,0.041833746000000005,0.0028109740000000004,0.003523023
